sex,age_band,education,risk_tier,active_rate,annual_loss,disposable_income,gambling_burden_pct,years_to_retirement,savings_shadow_4pct,home_down_payments,college_degrees_funded,retirement_years_funded,emergency_funds
Male,18-34,B.A. or higher,high,0.5101675977653631,1860.018515195531,20474.93,9.08437057023165,39,168162.69240371406,2.64,1.5,3.23,6.47
Male,18-34,No college,high,0.3968171145316984,1146.4573914353969,20474.93,5.599322642057369,39,103650.23793843697,1.63,0.93,1.99,3.99
Male,35-49,B.A. or higher,high,0.4761484098939929,1348.634200393165,16000.55,8.428674016787955,23,49384.13688399918,0.78,0.44,0.95,1.9
Male,35-49,No college,high,0.3740537718611328,915.2107311372356,16000.55,5.719870449061036,23,33513.08457920617,0.53,0.3,0.64,1.29
Female,18-34,B.A. or higher,medium,0.2115891132572432,228.4081640556409,20474.93,1.1155504026418694,39,20650.187899096287,0.32,0.18,0.4,0.79
Female,18-34,No college,medium,0.1785903550609432,166.15530301073136,20474.93,0.8115060857875038,39,15021.959665010249,0.24,0.13,0.29,0.58
Female,35-49,B.A. or higher,medium,0.2051052395879982,174.20820240147788,16000.55,1.0887638387522798,23,6379.13654510761,0.1,0.06,0.12,0.25
Female,35-49,No college,medium,0.165891472868217,140.89044044573643,16000.55,0.8805349843957642,23,5159.110450106337,0.08,0.05,0.1,0.2
Male,50-64,B.A. or higher,high,0.1262825572217837,516.5972077446725,18374.33,2.8115158906184465,8,4760.043557511748,0.07,0.04,0.09,0.18
Male,50-64,No college,medium,0.0908256880733945,108.15806680428138,18374.33,0.5886367927662198,8,996.5928993931041,0.02,0.01,0.02,0.04
Female,50-64,B.A. or higher,low,0.0479338842975206,31.443366942148767,18374.33,0.1711266040293647,8,289.7262973853088,0.0,0.0,0.01,0.01
Female,50-64,No college,low,0.0455341506129597,29.720218968914185,18374.33,0.16174858603777217,8,273.84882208023777,0.0,0.0,0.01,0.01
Female,65+,No college,low,0.0096153846153846,4.031835283954326,22196.27,0.018164472156602555,0,0.0,0.0,0.0,0.0,0.0
Female,65+,B.A. or higher,low,0.0366666666666666,3.4797411249999937,22196.27,0.015677143614670364,0,0.0,0.0,0.0,0.0,0.0
Male,65+,B.A. or higher,low,0.0617529880478087,18.914894540587653,22196.27,0.08521654557539467,0,0.0,0.0,0.0,0.0,0.0
Male,65+,No college,low,0.0503282275711159,23.284774681345727,22196.27,0.10490399820035404,0,0.0,0.0,0.0,0.0,0.0
